"","yy","mm","hhooks","alb_c","alb_n","yft_c","yft_n","bet_c","bet_n","mls_c","mls_n","blm_c","blm_n","bum_c","bum_n","swo_c","swo_n","oth_c","oth_n","total_c_ton","total_c_kg","total_n","cpue_c","cpue_n","alb_idv","yft_idv","bet_idv","mls_idv","blm_idv","bum_idv","swo_idv","oth_idv","Date"
"14",2001,2,720060.52,7207.106,422375,7085.373,259377,7006.223,184885,201.887,5933,112.654,2339,849.886,15927,1386.862,23312,438.127,49242,24288.118,24288118,963390,3373.06619726909,133.792920628394,17.0632873631252,27.3168900866307,37.8950320469481,34.0278105511546,48.1633176571184,53.3613360959377,59.4913349347975,8.89742496243045,"2001-02"
"15",2001,3,645813.48,6511.811,379663,7542.372,282262,6228.557,156849,256.197,6203,134.072,2817,862.607,16699,1281.868,22825,505.778,44317,23323.262,23323262,911635,3611.45481199928,141.160726468577,17.1515554583934,26.7211739447747,39.710530510236,41.3021118813477,47.5938942137025,51.6562069585005,56.1607009857612,11.4127310061602,"2001-03"
"16",2001,4,638482.93,6564.346,399260,7504.938,284862,5369.914,145496,283.891,6545,133.821,2843,841.832,15919,1007.262,19618,888.011,56079,22594.015,22594015,930622,3538.70306289943,145.755188787898,16.4412813705355,26.3458727383786,36.9076400725793,43.3752482811306,47.0703482237073,52.8822162196118,51.3437659292486,15.8350006241195,"2001-04"
"17",2001,5,803211.03,6786.025,410685,8823.023,324675,6350.577,179179,273.306,6784,153.666,3352,1072.415,19113,945.912,18054,1572.053,60810,25976.977,25976977,1022652,3234.14097039977,127.320462718247,16.5236738619623,27.174938014938,35.442641157725,40.2868514150943,45.8430787589499,56.1091926960707,52.3934862080425,25.8518829139944,"2001-05"
"18",2001,6,832168.33,7214.71,454283,8857.866,342130,5858.214,172076,233.178,5387,153.28,3222,852.732,15498,787.985,14728,1798.565,78399,25756.53,25756530,1085723,3095.11057696704,130.469156402527,15.8815319965748,25.890351620729,34.0443408726377,43.2853165026917,47.5729360645562,55.0220673635308,53.5025122216187,22.9411727190398,"2001-06"
"19",2001,7,1512939.05,6886.91,428119,7866.396,279896,5435.471,163162,310.6,6469,174.004,3514,892.057,16772,826.189,15032,1264.354,62266,23655.981,23655981,975230,1563.57792470225,64.4593052178804,16.0864385836648,28.1047103209764,33.3133388901828,48.0136033390014,49.517359134889,53.1872764130694,54.9620143693454,20.3056884977355,"2001-07"
"20",2001,8,644501.07,6862.707,426205,7775.684,282104,6060.131,176447,334.676,7519,169.072,3318,786.996,14974,764.257,14460,982.152,69507,23735.675,23735675,994534,3682.79838542394,154.310682525322,16.1018922818831,27.5631823724584,34.3453331595323,44.5107062109323,50.955997588909,52.5574996660879,52.8531811894882,14.1302602615564,"2001-08"
"21",2001,9,674468.47,4699.021,298380,6576.983,235349,6308.046,177775,451.348,10119,194.733,4125,869.219,16389,923.959,17400,935.123,65328,20958.432,20958432,824865,3107.39981662894,122.298526423333,15.7484449359877,27.9456594249391,35.4833131767684,44.6040122541753,47.208,53.0367319543596,53.101091954023,14.3142756551555,"2001-09"
"22",2001,10,819822.63,4180.552,255130,6874.114,266540,6214.654,192462,579.315,13519,180.099,3854,1008.639,19539,995.641,17182,751.479,59496,20784.493,20784493,827722,2535.2426536457,100.963546224627,16.385967937914,25.7901778344714,32.2902910704451,42.8519121236778,46.7304099636741,51.6218332565638,57.9467465952741,12.630748285599,"2001-10"
"23",2001,11,653774.93,5578.168,328785,5719.195,201697,5770.936,180096,432.474,9494,147.896,3067,709.586,13370,1028.941,17205,663.586,50690,20050.782,20050782,804404,3066.92427010011,123.039896925996,16.9660051401372,28.3553796040596,32.0436656005686,45.5523488519065,48.2217150309749,53.0729992520568,59.804766056379,13.0910633260998,"2001-11"
"24",2001,12,619597.69,6670.169,390215,5368.124,190883,5140.654,157756,370.99,8953,133.675,2649,570.664,10529,1031.296,17420,632.672,55978,19918.244,19918244,834383,3214.70598123114,134.66528579214,17.0935740553285,28.1225881822897,32.5861076599305,41.4375069809003,50.4624386560966,54.1992591889068,59.2018369690011,11.302154417807,"2001-12"
"25",2002,1,717867.24,6491.698,425469,5129.707,185887,5723.285,164557,218.07,5670,102.15,2273,699.803,12807,1237.282,20717,530.77,52414,20132.765,20132765,869794,2804.52483108158,121.163629085512,15.2577461577694,27.5958351041224,34.7799546661643,38.4603174603175,44.9406071271447,54.6422269071601,59.7230293961481,10.1264929217385,"2002-01"
"26",2002,2,611701.05,8043.431,509606,5581.827,205902,5419.95,184338,186.93,4754,98.01,2132,675.017,12636,1484.038,24504,515.225,48370,22004.428,22004428,992242,3597.2519582891,162.210282293941,15.7836269588663,27.1091441559577,29.4022393646454,39.3205721497686,45.9709193245779,53.4201487812599,60.5630917401241,10.6517469505892,"2002-02"
